group	title	authors	abstract	categories	author comment
1	An extension of Thwaites method for turbulent boundary layers	Rahul Agrawal,Sanjeeb T. Bose,Kevin P. Griffin,Parviz Moin	Thwaites (1949) developed an approximate method for determining the evolution of laminar boundary layers. The approximation follows from an assumption that the growth of a laminar boundary layer in the presence of pressure gradients could be parameterized solely as a function of a flow parameter, $m = \theta^2/\nu \frac{dU_e}{ds}$, thus reducing the von Karman momentum integral to a first-order ordinary differential equation. This method is useful for the analysis of laminar flows, and in computational potential flow solvers to account for the viscous effects. However, for turbulent flows, a similar approximation for turbulent boundary layers subjected to pressure gradients does not yet exist. In this work, an approximate method for determining the momentum thickness of a two-dimensional, turbulent boundary layer is proposed. It is shown that the method provides good estimates of the momentum thickness, when compared to available high-fidelity simulation data, for multiple boundary layers including both favorable and adverse pressure gradient effects, up to the point of separation. In the limit of high Reynolds numbers, it is possible to derive a criterion for the onset of separation from the proposed model which is shown to be in agreement with prior empirical observations (Alber, \textit{$9^{th}$ Aerospace Sciences Meeting, 1971}). The sensitivity of the separation location with respect to upstream perturbations is also analyzed through this model for the NASA/Boeing speed bump and the transonic Bachalo-Johnson bump	physics.flu-dyn	21 pages, 13 figures. Under consideration for publication in J. Fluid   Mech
2	SMURF-THP: Score Matching-based UnceRtainty quantiFication for Transformer Hawkes Process	Zichong Li,Yanbo Xu,Simiao Zuo,Haoming Jiang,Chao Zhang,Tuo Zhao,Hongyuan Zha	Transformer Hawkes process models have shown to be successful in modeling event sequence data. However, most of the existing training methods rely on maximizing the likelihood of event sequences, which involves calculating some intractable integral. Moreover, the existing methods fail to provide uncertainty quantification for model predictions, e.g., confidence intervals for the predicted event's arrival time. To address these issues, we propose SMURF-THP, a score-based method for learning Transformer Hawkes process and quantifying prediction uncertainty. Specifically, SMURF-THP learns the score function of events' arrival time based on a score-matching objective that avoids the intractable computation. With such a learned score function, we can sample arrival time of events from the predictive distribution. This naturally allows for the quantification of uncertainty by computing confidence intervals over the generated samples. We conduct extensive experiments in both event type prediction and uncertainty quantification of arrival time. In all the experiments, SMURF-THP outperforms existing likelihood-based methods in confidence calibration while exhibiting comparable prediction accuracy.	cs.LG	None
3	Defense Against Model Extraction Attacks on Recommender Systems	Sixiao Zhang,Hongzhi Yin,Hongxu Chen,Cheng Long	The robustness of recommender systems has become a prominent topic within the research community. Numerous adversarial attacks have been proposed, but most of them rely on extensive prior knowledge, such as all the white-box attacks or most of the black-box attacks which assume that certain external knowledge is available. Among these attacks, the model extraction attack stands out as a promising and practical method, involving training a surrogate model by repeatedly querying the target model. However, there is a significant gap in the existing literature when it comes to defending against model extraction attacks on recommender systems. In this paper, we introduce Gradient-based Ranking Optimization (GRO), which is the first defense strategy designed to counter such attacks. We formalize the defense as an optimization problem, aiming to minimize the loss of the protected target model while maximizing the loss of the attacker's surrogate model. Since top-k ranking lists are non-differentiable, we transform them into swap matrices which are instead differentiable. These swap matrices serve as input to a student model that emulates the surrogate model's behavior. By back-propagating the loss of the student model, we obtain gradients for the swap matrices. These gradients are used to compute a swap loss, which maximizes the loss of the student model. We conducted experiments on three benchmark datasets to evaluate the performance of GRO, and the results demonstrate its superior effectiveness in defending against model extraction attacks.	cs.LG	None
4	AccoMontage-3: Full-Band Accompaniment Arrangement via Sequential Style Transfer and Multi-Track Function Prior	Jingwei Zhao,Gus Xia,Ye Wang	We propose AccoMontage-3, a symbolic music automation system capable of generating multi-track, full-band accompaniment based on the input of a lead melody with chords (i.e., a lead sheet). The system contains three modular components, each modelling a vital aspect of full-band composition. The first component is a piano arranger that generates piano accompaniment for the lead sheet by transferring texture styles to the chords using latent chord-texture disentanglement and heuristic retrieval of texture donors. The second component orchestrates the piano accompaniment score into full-band arrangement according to the orchestration style encoded by individual track functions. The third component, which connects the previous two, is a prior model characterizing the global structure of orchestration style over the whole piece of music. From end to end, the system learns to generate full-band accompaniment in a self-supervised fashion, applying style transfer at two levels of polyphonic composition: texture and orchestration. Experiments show that our system outperforms the baselines significantly, and the modular design offers effective controls in a musically meaningful way.	cs.SD	None
5	Scalable Optimal Power Management for Large-Scale Battery Energy Storage Systems	Amir Farakhor,Di Wu,Yebin Wang,Huazhen Fang	Large-scale battery energy storage systems (BESS) are helping transition the world towards sustainability with their broad use, among others, in electrified transportation, power grid, and renewables. However, optimal power management for them is often computationally formidable. To overcome this challenge, we develop a scalable approach in the paper. The proposed approach partitions the constituting cells of a large-scale BESS into clusters based on their state-of-charge (SoC), temperature, and internal resistance. Each cluster is characterized by a representative model that approximately captures its collective SoC and temperature dynamics, as well as its overall power losses in charging/discharging. Based on the clusters, we then formulate a problem of receding-horizon optimal power control to minimize the power losses while promoting SoC and temperature balancing. The cluster-based power optimization will decide the power quota for each cluster, and then every cluster will split the quota among the constituent cells. Since the number of clusters is much fewer than the number of cells, the proposed approach significantly reduces the computational costs, allowing optimal power management to scale up to large-scale BESS. Extensive simulations are performed to evaluate the proposed approach. The obtained results highlight a significant computational overhead reduction by more than 60% for a small-scale and 98% for a large-scale BESS compared to the conventional cell-level optimization. Experimental validation based on a 20-cell prototype further demonstrates its effectiveness and utility.	eess.SY	IEEE Transactions on Transportation Electrification
6	Corrupting Neuron Explanations of Deep Visual Features	Divyansh Srivastava,Tuomas Oikarinen,Tsui-Wei Weng	The inability of DNNs to explain their black-box behavior has led to a recent surge of explainability methods. However, there are growing concerns that these explainability methods are not robust and trustworthy. In this work, we perform the first robustness analysis of Neuron Explanation Methods under a unified pipeline and show that these explanations can be significantly corrupted by random noises and well-designed perturbations added to their probing data. We find that even adding small random noise with a standard deviation of 0.02 can already change the assigned concepts of up to 28% neurons in the deeper layers. Furthermore, we devise a novel corruption algorithm and show that our algorithm can manipulate the explanation of more than 80% neurons by poisoning less than 10% of probing data. This raises the concern of trusting Neuron Explanation Methods in real-life safety and fairness critical applications.	cs.LG	None
7	CoheSentia: A Novel Benchmark of Incremental versus Holistic Assessment of Coherence in Generated Texts	Aviya Maimon,Reut Tsarfaty	Coherence is a linguistic term that refers to the relations between small textual units (sentences, propositions), which make the text logically consistent and meaningful to the reader. With the advances of generative foundational models in NLP, there is a pressing need to automatically assess the human-perceived coherence of automatically generated texts. Up until now, little work has been done on explicitly assessing the coherence of generated texts and analyzing the factors contributing to (in)coherence. Previous work on the topic used other tasks, e.g., sentence reordering, as proxies of coherence, rather than approaching coherence detection heads on. In this paper, we introduce {\sc CoheSentia}, a novel benchmark of human-perceived coherence of automatically generated texts. Our annotation protocol reflects two perspectives; one is global, assigning a single coherence score, and the other is incremental, scoring sentence by sentence. The incremental method produces an (in)coherence score for each text fragment and also pinpoints reasons for incoherence at that point. Our benchmark contains 500 automatically-generated and human-annotated paragraphs, each annotated in both methods, by multiple raters. Our analysis shows that the inter-annotator agreement in the incremental mode is higher than in the holistic alternative, and our experiments show that standard LMs fine-tuned for coherence detection show varied performance on the different factors contributing to (in)coherence. All in all, these models yield unsatisfactory performance, emphasizing the need for developing more reliable methods for coherence assessment.	cs.CL	None
8	The effects of Thomson scattering and chemical mixing on early-time light curves of double peaked type IIb supernovae	Seong Hyun Park,Sung-Chul Yoon,Sergei Blinnikov	Previous numerical simulations of double-peaked SNe IIb light curves have demonstrated that the radius and mass of the hydrogen-rich envelope of the progenitor star can significantly influence the brightness and timescale of the early-time light curve around the first peak. In this study, we investigate how Thomson scattering and chemical mixing in the SN ejecta affect the optical light curves during the early stages of the SNe IIb using radiation hydrodynamics simulations. By comparing the results from two different numerical codes (i.e., \stella{} and \snec{}), we find that the optical brightness of the first peak can be reduced by more than a factor of 3 due to the effect of Thomson scattering that causes the thermalization depth to be located below the Rosseland-mean photosphere, compared to the corresponding case where this effect is ignored. We also observe a short-lived plateau-like feature lasting for a few days in the early-time optical light curves of our models, in contrast to typical observed SNe IIb that show a quasi-linear decrease in optical magnitudes after the first peak. A significant degree of chemical mixing between the hydrogen-rich envelope and the helium core in SN ejecta is required to reconcile this discrepancy between the model prediction and observation. Meanwhile, to properly reproduce the first peak, a significant mixing of \nifs{} into the hydrogen-rich outermost layers should be restricted. Our findings indicate that inferring the SN IIb progenitor structure from a simplified approach that ignores these two factors may introduce substantial uncertainty.	astro-ph.HE	28 pages, 21 figures, accepted for ApJ
9	Reinforcement Learning for SBM Graphon Games with Re-Sampling	Peihan Huo,Oscar Peralta,Junyu Guo,Qiaomin Xie,Andreea Minca	The Mean-Field approximation is a tractable approach for studying large population dynamics. However, its assumption on homogeneity and universal connections among all agents limits its applicability in many real-world scenarios. Multi-Population Mean-Field Game (MP-MFG) models have been introduced in the literature to address these limitations. When the underlying Stochastic Block Model is known, we show that a Policy Mirror Ascent algorithm finds the MP-MFG Nash Equilibrium. In more realistic scenarios where the block model is unknown, we propose a re-sampling scheme from a graphon integrated with the finite N-player MP-MFG model. We develop a novel learning framework based on a Graphon Game with Re-Sampling (GGR-S) model, which captures the complex network structures of agents' connections. We analyze GGR-S dynamics and establish the convergence to dynamics of MP-MFG. Leveraging this result, we propose an efficient sample-based N-player Reinforcement Learning algorithm for GGR-S without population manipulation, and provide a rigorous convergence analysis with finite sample guarantee.	cs.GT	None
0	Electron EDM and LFV decays in the light of Muon $(g-2)_μ$ with U(2) flavor symmetry	Morimitsu Tanimoto,Kei Yamamoto	We study the interplay of New Physics (NP) among the lepton magnetic moment, the lepton flavor violation (LFV) and the electron electric dipole moment (EDM) in the light of recent data of the muon $(g-2)_\mu$. The NP is discussed in the leptonic dipole operator with the $U(2)$ flavor symmetry of the charged leptons, where possible CP violating phases of the three family space are taken into account. It is remarked that the third-family contributes significantly to the LFV decay, $\mu \to e\gamma$, and the electron EDM. The experimental upper-bound of the $\mu \to e\gamma$ decay gives a severe constraint for parameters of the flavor model. The predicted electron EDM is rather large due to CP violating phases in the three family space. In addition, we also study $(g-2)_{e,\tau}$ of the electron and tauon, and EDMs of the muon and tauon as well as the $\tau \to e \gamma$ and $\tau \to \mu \gamma$ decays. The $\tau_R \to \mu_L \gamma$ decay is predicted close to the experimental upper-bound. The $\tau_R \to e_L \gamma$ decay is not suppressed.	hep-ph	25 pages, 14 figures
1	Extracting Design Knowledge from Optimization Data: Enhancing Engineering Design in Fluid Based Thermal Management Systems	Saeid Bayat,Nastaran Shahmansouri,Satya RT Peddada,Alex Tessier,Adrian Butscher,James T Allison	As mechanical systems become more complex and technological advances accelerate, the traditional reliance on heritage designs for engineering endeavors is being diminished in its effectiveness. Considering the dynamic nature of the design industry where new challenges are continually emerging, alternative sources of knowledge need to be sought to guide future design efforts. One promising avenue lies in the analysis of design optimization data, which has the potential to offer valuable insights and overcome the limitations of heritage designs. This paper presents a step toward extracting knowledge from optimization data in multi-split fluid-based thermal management systems using different classification machine learning methods, so that designers can use it to guide decisions in future design efforts. This approach offers several advantages over traditional design heritage methods, including applicability in cases where there is no design heritage and the ability to derive optimal designs. We showcase our framework through four case studies with varying levels of complexity. These studies demonstrate its effectiveness in enhancing the design of complex thermal management systems. Our results show that the knowledge extracted from the configuration design optimization data provides a good basis for more general design of complex thermal management systems. It is shown that the objective value of the estimated optimal configuration closely approximates the true optimal configuration with less than 1 percent error, achieved using basic features based on the system heat loads without involving the corresponding optimal open loop control (OLOC) features. This eliminates the need to solve the OLOC problem, leading to reduced computation costs.	eess.SY	13 pages, 20 figures
2	Samsung R&D Institute Philippines at WMT 2023	Jan Christian Blaise Cruz	In this paper, we describe the constrained MT systems submitted by Samsung R&D Institute Philippines to the WMT 2023 General Translation Task for two directions: en$\rightarrow$he and he$\rightarrow$en. Our systems comprise of Transformer-based sequence-to-sequence models that are trained with a mix of best practices: comprehensive data preprocessing pipelines, synthetic backtranslated data, and the use of noisy channel reranking during online decoding. Our models perform comparably to, and sometimes outperform, strong baseline unconstrained systems such as mBART50 M2M and NLLB 200 MoE despite having significantly fewer parameters on two public benchmarks: FLORES-200 and NTREX-128.	cs.CL	To appear in Proceedings of the Eighth Conference on Machine   Translation 2023 (WMT)
3	Neuromorphic cameras for Atmospheric Cherenkov Telescopes and fast optical astronomy: new paradigm, challenges and opportunities	John Hoang	The astronomy community has witnessed an explosive growth in the use of deep-learning techniques based on neural networks since the mid-2010s. The widespread adoption of these nature-inspired technologies has helped astronomers tackle previously insurmountable problems and provided an unprecedented opportunity for new discoveries. However, one of the primary tools of today's optical astronomy is neither natural nor efficient: their photo-sensing devices. Specifically, the modern CCD camera - like that of the cutting-edge Rubin Observatory - requires an internal clock to regularly expose the sensor to light, consumes a large amount of energy and information bandwidth, and has a limited dynamic range. On the contrary, biological eyes lack an internal clock and a shutter, have much higher pixel density but consume significantly less energy and bandwidth, and can adapt to bright and low light conditions. Inspired by the nature of the eyes, M. Mahowald and C. Mead introduced the revolutionary concept of a silicon retina sensor in 1991. Also known as event-based cameras (EBCs), these types of devices operate in a vastly different way compared to conventional CCD-based imaging sensors. EBCs mimic the operating principles of optic nerves and continuously produce a stream of events, with each event generated only when a pixel detects a change in light intensity. EBCs do not have fixed exposure times, have high dynamic range, require low power for operation, and can capture high-speed phenomena. These properties are important requirements for Cherenkov telescopes as well as other high-speed optical astronomy. This work presents the opportunities and challenges of using EBCs in those cases, and proposes a low-cost approach to experimentally assess the feasibility of this innovative technique.	astro-ph.IM	None
4	Enhancing Low-Precision Sampling via Stochastic Gradient Hamiltonian Monte Carlo	Ziyi Wang,Yujie Chen,Qifan Song,Ruqi Zhang	Low-precision training has emerged as a promising low-cost technique to enhance the training efficiency of deep neural networks without sacrificing much accuracy. Its Bayesian counterpart can further provide uncertainty quantification and improved generalization accuracy. This paper investigates low-precision sampling via Stochastic Gradient Hamiltonian Monte Carlo (SGHMC) with low-precision and full-precision gradient accumulators for both strongly log-concave and non-log-concave distributions. Theoretically, our results show that, to achieve $\epsilon$-error in the 2-Wasserstein distance for non-log-concave distributions, low-precision SGHMC achieves quadratic improvement ($\widetilde{\mathbf{O}}\left({\epsilon^{-2}{\mu^*}^{-2}\log^2\left({\epsilon^{-1}}\right)}\right)$) compared to the state-of-the-art low-precision sampler, Stochastic Gradient Langevin Dynamics (SGLD) ($\widetilde{\mathbf{O}}\left({{\epsilon}^{-4}{\lambda^{*}}^{-1}\log^5\left({\epsilon^{-1}}\right)}\right)$). Moreover, we prove that low-precision SGHMC is more robust to the quantization error compared to low-precision SGLD due to the robustness of the momentum-based update w.r.t. gradient noise. Empirically, we conduct experiments on synthetic data, and {MNIST, CIFAR-10 \& CIFAR-100} datasets, which validate our theoretical findings. Our study highlights the potential of low-precision SGHMC as an efficient and accurate sampling method for large-scale and resource-limited machine learning.	stat.ML	None
5	Sum-of-Parts Models: Faithful Attributions for Groups of Features	Weiqiu You,Helen Qu,Marco Gatti,Bhuvnesh Jain,Eric Wong	"An explanation of a machine learning model is considered ""faithful"" if it accurately reflects the model's decision-making process. However, explanations such as feature attributions for deep learning are not guaranteed to be faithful, and can produce potentially misleading interpretations. In this work, we develop Sum-of-Parts (SOP), a class of models whose predictions come with grouped feature attributions that are faithful-by-construction. This model decomposes a prediction into an interpretable sum of scores, each of which is directly attributable to a sparse group of features. We evaluate SOP on benchmarks with standard interpretability metrics, and in a case study, we use the faithful explanations from SOP to help astrophysicists discover new knowledge about galaxy formation."	cs.LG	None
6	Understanding Code Semantics: An Evaluation of Transformer Models in Summarization	Debanjan Mondal,Abhilasha Lodha,Ankita Sahoo,Beena Kumari	This paper delves into the intricacies of code summarization using advanced transformer-based language models. Through empirical studies, we evaluate the efficacy of code summarization by altering function and variable names to explore whether models truly understand code semantics or merely rely on textual cues. We have also introduced adversaries like dead code and commented code across three programming languages (Python, Javascript, and Java) to further scrutinize the model's understanding. Ultimately, our research aims to offer valuable insights into the inner workings of transformer-based LMs, enhancing their ability to understand code and contributing to more efficient software development practices and maintenance workflows.	cs.LG	All authors are co-first authors and have equal contributions
7	Score Matching-based Pseudolikelihood Estimation of Neural Marked Spatio-Temporal Point Process with Uncertainty Quantification	Zichong Li,Qunzhi Xu,Zhenghao Xu,Yajun Mei,Tuo Zhao,Hongyuan Zha	Spatio-temporal point processes (STPPs) are potent mathematical tools for modeling and predicting events with both temporal and spatial features. Despite their versatility, most existing methods for learning STPPs either assume a restricted form of the spatio-temporal distribution, or suffer from inaccurate approximations of the intractable integral in the likelihood training objective. These issues typically arise from the normalization term of the probability density function. Moreover, current techniques fail to provide uncertainty quantification for model predictions, such as confidence intervals for the predicted event's arrival time and confidence regions for the event's location, which is crucial given the considerable randomness of the data. To tackle these challenges, we introduce SMASH: a Score MAtching-based pSeudolikeliHood estimator for learning marked STPPs with uncertainty quantification. Specifically, our framework adopts a normalization-free objective by estimating the pseudolikelihood of marked STPPs through score-matching and offers uncertainty quantification for the predicted event time, location and mark by computing confidence regions over the generated samples. The superior performance of our proposed framework is demonstrated through extensive experiments in both event prediction and uncertainty quantification.	cs.LG	None
8	Constant Curvature 3-branes in 5-D f(R) Bulk	Shafaq Gulzar Elahi,Soumya Samrat Mandal,Soumitra SenGupta	Braneworld models remain the most promising candidates to address several important questions in low-energy particle phenomenology and cosmology. The role of the moduli field(s) and its stabilization is an integral part of this question. In this work, we show that a 5-dimensional warped braneworld model with higher curvature gravity in bulk admits de-Sitter and anti de-Sitter solutions on the branes. The remarkable feature of having a positive vacuum energy on the visible brane is the presence of a metastable minimum and a global minimum for the modulus potential. While the metastable minimum leads to a consistent cosmological model of a bouncing universe, the concomitant existence of the global minimum provides a vacuum for the modulus to roll down to stability. Further, this model is shown to be consistent with the swampland conjecture to qualify as a viable candidate in the low energy description of string landscape	hep-th	7 Pages, 4 Figures
9	Diffusion model approach to simulating electron-proton scattering events	Peter Devlin,Jian-Wei Qiu,Felix Ringer,Nobuo Sato	Generative AI is a fast-growing area of research offering various avenues for exploration in high-energy nuclear physics. In this work, we explore the use of generative models for simulating electron-proton collisions relevant to experiments like CEBAF and the future Electron-Ion Collider (EIC). These experiments play a critical role in advancing our understanding of nucleons and nuclei in terms of quark and gluon degrees of freedom. The use of generative models for simulating collider events faces several challenges such as the sparsity of the data, the presence of global or event-wide constraints, and steeply falling particle distributions. In this work, we focus on the implementation of diffusion models for the simulation of electron-proton scattering events at EIC energies. Our results demonstrate that diffusion models can accurately reproduce relevant observables such as momentum distributions and correlations of particles, momentum sum rules, and the leading electron kinematics, all of which are of particular interest in electron-proton collisions. Although the sampling process is relatively slow compared to other machine learning architectures, we find diffusion models can generate high-quality samples. We foresee various applications of our work including inference for nuclear structure, interpretable generative machine learning, and searches of physics beyond the Standard Model.	hep-ph	14 pages, 10 figures
0	The physical origin of the periodic activity for FRB 20180916B	Hao-Tian Lan,Zhen-Yin Zhao,Yu-Jia Wei,F. Y. Wang	Fast radio bursts (FRBs) are transient radio signals with millisecond-duration, large dispersion measure (DM) and extremely high brightness temperature. Among them, FRB 20180916B has been found to have a 16-day periodic activity. However, the physical origin of the periodicity is still a mystery. Here, we utilize the comprehensive observational data to diagnose the periodic models. We find that the ultra-long rotation model is the most probable one for the periodic activity. However, this model cannot reproduce the observed rotation measure (RM) variations. We propose a self-consistent model, i.e., a massive binary containing a slowly rotational neutron star and a massive star with large mass loss, which can naturally accommodate the wealth of observational features for FRB 20180916B. In this model, the RM variation is periodic, which can be tested by future observations.	astro-ph.HE	12 pages, 8 figures
1	Generation of $γ$ photons with extremely large orbital angular momenta	Ren-Tong Guo,Mamutjan Ababekri,Qian Zhao,Yousef I. Salamin,Liang-Liang Ji,Zhi-Gang Bu,Zhong-Feng Xu,Xiu-Feng Weng,Jian-Xing Li	Vortex $\gamma$ photons, which carry large intrinsic orbital angular momenta (OAM), have significant applications in nuclear, atomic, hadron, particle and astro-physics, but their production remains unclear. In this work, we investigate the generation of such photons from nonlinear Compton scattering of circularly polarized monochromatic lasers on vortex electrons. We develop a quantum radiation theory for ultrarelativistic vortex electrons in lasers by using the harmonics expansion and spin eigenfunctions, which allows us to explore the kinematical characteristics, angular momentum transfer mechanisms, and formation conditions of vortex $\gamma$ photons. The multiphoton absorption of electrons enables the vortex $\gamma$ photons, with fixed polarizations and energies, to exist in mixed states comprised of multiple harmonics. Each harmonic represents a vortex eigenmode and has transverse momentum broadening due to transverse momenta of the vortex electrons. The large topological charges associated with vortex electrons offer the possibility for $\gamma$ photons to carry adjustable OAM quantum numbers from tens to thousands of units, even at moderate laser intensities. $\gamma$ photons with large OAM and transverse coherence length can assist in influencing quantum selection rules and extracting phase of the scattering amplitude in scattering processes.	hep-ph	7 pages, 4 figures
2	Dolfin: Diffusion Layout Transformers without Autoencoder	Yilin Wang,Zeyuan Chen,Liangjun Zhong,Zheng Ding,Zhizhou Sha,Zhuowen Tu	In this paper, we introduce a novel generative model, Diffusion Layout Transformers without Autoencoder (Dolfin), which significantly improves the modeling capability with reduced complexity compared to existing methods. Dolfin employs a Transformer-based diffusion process to model layout generation. In addition to an efficient bi-directional (non-causal joint) sequence representation, we further propose an autoregressive diffusion model (Dolfin-AR) that is especially adept at capturing rich semantic correlations for the neighboring objects, such as alignment, size, and overlap. When evaluated against standard generative layout benchmarks, Dolfin notably improves performance across various metrics (fid, alignment, overlap, MaxIoU and DocSim scores), enhancing transparency and interoperability in the process. Moreover, Dolfin's applications extend beyond layout generation, making it suitable for modeling geometric structures, such as line segments. Our experiments present both qualitative and quantitative results to demonstrate the advantages of Dolfin.	cs.CV	None
3	Deep Learning Approach to Photometric Redshift Estimation	Krishna Chunduri,Mithun Mahesh	Photometric redshift estimation, an essential process in astronomy for distance estimation, obtains the redshift of celestial structures by utilizing the magnitude of objects in varying wavelength filters. This research capitalized on a dataset of 50,000 objects from the Sloan Digital Sky Survey, comprising 5 bands of magnitudes and their corresponding redshift labels. Typically, studies use spectral distribution templates (SED) for redshift prediction. However, these templates are expensive and hard to obtain, especially with larger datasets. The paper explores approaches for Data-Driven methodology instead of template based prediction. Adopting both a decision tree regression model and a Fully Connected Neural Network (FCN) for analysis, the FCN significantly outperformed the decision tree regressor, achieving an impressive root mean square error (RMSE) of 0.009 compared to the decision tree's RMSE above 0.16. The strong performance of the FCN highlights its ability to capture intricate relationships in astronomical data, holding the potential for data-driven redshift estimation, which will help advance next generation surveys.	astro-ph.IM	None
4	URL-BERT: Training Webpage Representations via Social Media Engagements	Ayesha Qamar,Chetan Verma,Ahmed El-Kishky,Sumit Binnani,Sneha Mehta,Taylor Berg-Kirkpatrick	Understanding and representing webpages is crucial to online social networks where users may share and engage with URLs. Common language model (LM) encoders such as BERT can be used to understand and represent the textual content of webpages. However, these representations may not model thematic information of web domains and URLs or accurately capture their appeal to social media users. In this work, we introduce a new pre-training objective that can be used to adapt LMs to understand URLs and webpages. Our proposed framework consists of two steps: (1) scalable graph embeddings to learn shallow representations of URLs based on user engagement on social media and (2) a contrastive objective that aligns LM representations with the aforementioned graph-based representation. We apply our framework to the multilingual version of BERT to obtain the model URL-BERT. We experimentally demonstrate that our continued pre-training approach improves webpage understanding on a variety of tasks and Twitter internal and external benchmarks.	cs.CL	None
5	Imperfect Digital Twin Assisted Low Cost Reinforcement Training for Multi-UAV Networks	Xiucheng Wang,Nan Cheng,Longfei Ma,Zhisheng Yin,Tom. Luan,Ning Lu	Deep Reinforcement Learning (DRL) is widely used to optimize the performance of multi-UAV networks. However, the training of DRL relies on the frequent interactions between the UAVs and the environment, which consumes lots of energy due to the flying and communication of UAVs in practical experiments. Inspired by the growing digital twin (DT) technology, which can simulate the performance of algorithms in the digital space constructed by coping features of the physical space, the DT is introduced to reduce the costs of practical training, e.g., energy and hardware purchases. Different from previous DT-assisted works with an assumption of perfect reflecting real physics by virtual digital, we consider an imperfect DT model with deviations for assisting the training of multi-UAV networks. Remarkably, to trade off the training cost, DT construction cost, and the impact of deviations of DT on training, the natural and virtually generated UAV mixing deployment method is proposed. Two cascade neural networks (NN) are used to optimize the joint number of virtually generated UAVs, the DT construction cost, and the performance of multi-UAV networks. These two NNs are trained by unsupervised and reinforcement learning, both low-cost label-free training methods. Simulation results show the training cost can significantly decrease while guaranteeing the training performance. This implies that an efficient decision can be made with imperfect DTs in multi-UAV networks.	cs.LG	None
6	Is ChatGPT a Good Multi-Party Conversation Solver?	Chao-Hong Tan,Jia-Chen Gu,Zhen-Hua Ling	Large Language Models (LLMs) have emerged as influential instruments within the realm of natural language processing; nevertheless, their capacity to handle multi-party conversations (MPCs) -- a scenario marked by the presence of multiple interlocutors involved in intricate information exchanges -- remains uncharted. In this paper, we delve into the potential of generative LLMs such as ChatGPT and GPT-4 within the context of MPCs. An empirical analysis is conducted to assess the zero-shot learning capabilities of ChatGPT and GPT-4 by subjecting them to evaluation across three MPC datasets that encompass five representative tasks. The findings reveal that ChatGPT's performance on a number of evaluated MPC tasks leaves much to be desired, whilst GPT-4's results portend a promising future. Additionally, we endeavor to bolster performance through the incorporation of MPC structures, encompassing both speaker and addressee architecture. This study provides an exhaustive evaluation and analysis of applying generative LLMs to MPCs, casting a light upon the conception and creation of increasingly effective and robust MPC agents. Concurrently, this work underscores the challenges implicit in the utilization of LLMs for MPCs, such as deciphering graphical information flows and generating stylistically consistent responses.	cs.CL	Accepted by Findings of EMNLP 2023
7	FoundLoc: Vision-based Onboard Aerial Localization in the Wild	Yao He,Ivan Cisneros,Nikhil Keetha,Jay Patrikar,Zelin Ye,Ian Higgins,Yaoyu Hu,Parv Kapoor,Sebastian Scherer	Robust and accurate localization for Unmanned Aerial Vehicles (UAVs) is an essential capability to achieve autonomous, long-range flights. Current methods either rely heavily on GNSS, face limitations in visual-based localization due to appearance variances and stylistic dissimilarities between camera and reference imagery, or operate under the assumption of a known initial pose. In this paper, we developed a GNSS-denied localization approach for UAVs that harnesses both Visual-Inertial Odometry (VIO) and Visual Place Recognition (VPR) using a foundation model. This paper presents a novel vision-based pipeline that works exclusively with a nadir-facing camera, an Inertial Measurement Unit (IMU), and pre-existing satellite imagery for robust, accurate localization in varied environments and conditions. Our system demonstrated average localization accuracy within a $20$-meter range, with a minimum error below $1$ meter, under real-world conditions marked by drastic changes in environmental appearance and with no assumption of the vehicle's initial pose. The method is proven to be effective and robust, addressing the crucial need for reliable UAV localization in GNSS-denied environments, while also being computationally efficient enough to be deployed on resource-constrained platforms.	cs.RO	None
8	Ghost-free Higher Derivative Gravity on Branes and Various Constraints	Rong-Xin Miao	Inspired by DGP gravity, this paper investigates the higher derivative gravity localized on the brane. Generally, the higher derivative gravity in bulk is renormalizable but suffers the ghost problem. Remarkably, we find the brane-localized higher derivative gravity can be ghost-free for suitable parameters, at least at the level of squared action. Physically, that is because the boundary theory is not independent but the induced gravity on the brane. It is coupled with bulk gravity, and bulk Einstein equations and boundary conditions rule out the potential ghost.   Furthermore, we discuss various constraints on parameters of brane-localized gravity in AdS/BCFT and wedge holography, respectively. They include the tachyon-free and ghost-free conditions of Kaluza-Klein and brane bending modes, the positive definiteness of boundary central charges and entanglement entropy. The tachyon-free condition imposes the most substantial restrictions for DGP gravity and brane-localized Gauss-Bonnet gravity. As for the brane-localized higher derivative gravity such as $R_{ij} R^{ij}$, the ghost-free condition imposes additional constraints. The other constraints are weaker than the tachyon-free and ghost-free conditions. Finally, we briefly discuss the applications of our results.	hep-th	47 pages, 16 figures
